"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"51"	98	0.00120189569120476	0.0966585696856084	0.103571618631054	0.0289661694516842	0.00120189569120476	0.000546851725330829	0.355250227642126	0.0323776655094606	2.76672006137693e-19	1.08379737057777e-18	0	6.90506125920791e-09	-572.907540848023	"0.0966585696856084_0.36422290048315"	"0.501431328898401_0.498568671101599"	NA
"88"	113	0.0484819665305169	0.0788539964056032	0.0870347447165806	0.0395277258707947	0.0484819665305169	0.0297246603925022	0.299614137409031	0.0524514021927338	2.87565815441484e-08	9.31710810783119e-08	0	0.00120922837640896	-634.094279652772	"0.0788539964056032_0.313021437076808"	"0.501603897426506_0.498396102573494"	NA
"43"	93	7.07575280803453e-08	0.297000545077877	0.0880721923740574	0.0522706562543309	0.0908435949788192	0.0953923100536436	0.289437507607041	0.0506655499781873	7.07575280803453e-08	1.35660155413615e-07	1.28739850113746e-07	0.00567191283168657	-508.819249414959	"0.0893246054758601_0.297000545077877"	"0.499918524535546_0.500081475464454"	NA
"12"	117	5.27082131198225e-25	0.341590234427392	0.0624720449547875	0.0384376627102061	0.159890141436945	0.106816419913643	0.332636605150267	0.0257476610648279	5.27082131198225e-25	3.34512498131302e-24	0	5.23338327781875e-09	-673.846193680881	"0.0543705453376209_0.341590234427392"	"0.496126006238355_0.503873993761645"	NA
"65"	107	0.00417700308455547	0.0961062724866231	0.0941978498292584	0.0328239142810725	0.00417700308455547	0.00495895348726505	0.261604648424662	0.0451967172428689	1.00740558202273e-07	7.31920431401419e-08	1.68752967155683e-09	0.00272660397629223	-624.495806515962	"0.0961062724866231_0.258401319367103"	"0.501970427901745_0.498029572098255"	NA
"81"	116	2.21458798876188e-10	0.259091520870873	0.157630898279195	0.033464733333165	2.08283714598463e-07	6.97107271399356e-06	0.290252063015638	0.0372189109390052	2.21458798876188e-10	3.11576524161578e-12	0.00361134554987919	0.00805625406244018	-692.653982181414	"0.184879199071734_0.259091520870873"	"0.49969689784493_0.50030310215507"	NA
"21"	118	1.0822839918348e-38	0.37928441540375	0.120955765445014	0.0404257246281153	0.00312467907858087	0.00338046008149879	0.375925368155372	0.0193862494203666	1.0822839918348e-38	2.40272159686554e-38	0	1.29290126205892e-08	-682.14647273474	"0.121998974521872_0.37928441540375"	"0.489070450015342_0.510929549984658"	NA
"36"	100	0.000903052827334873	0.138429167875619	0.144422348499685	0.0404449369187595	0.000903052827334873	0.000551106905034194	0.250409252728803	0.0440796061420994	5.98404969515566e-08	1.34833813616219e-07	4.46322350189376e-06	0.0764490933118382	-597.910616916773	"0.138429167875619_0.258475575307645"	"0.500553792583669_0.499446207416331"	NA
"59"	99	4.5378432234015e-14	0.243938321303408	0.1363661285474	0.0373574237349393	0.000272694433720051	0.000422368423844319	0.246523694923198	0.0276789476645417	4.5378432234015e-14	2.8500744106931e-14	2.10091570820303e-05	0.0178227266211676	-603.92585523565	"0.141087063154401_0.243938321303408"	"0.498480375524779_0.501519624475221"	NA
"27"	97	0.00348200949969053	0.13455713024811	0.135130454682838	0.0449140522494781	0.00348200949969053	0.0033512127267597	0.37438874826877	0.0474644833044568	4.07033607413106e-12	4.90501260146131e-12	9.76996261670138e-14	0.000250854840081419	-542.569100987064	"0.13455713024811_0.376209975641452"	"0.500518618250846_0.499481381749154"	NA
"89"	115	5.54362548002952e-30	0.348731730417	0.113316831377897	0.0345103590406324	0.00172671793497904	0.00136152532581811	0.341464593769691	0.022402910429927	5.54362548002952e-30	2.82439594010497e-29	0	2.93852355997712e-08	-679.323462798264	"0.110764386325482_0.348731730417"	"0.496576326530178_0.503423673469822"	NA
"73"	106	3.09812795456449e-06	0.141310427852003	0.139558313791781	0.0286673780348931	3.09812795456449e-06	3.99002852524502e-06	0.343967829778524	0.0422283854347819	1.07322736900154e-12	8.39350124419528e-13	1.30144783838659e-11	6.20413583954677e-05	-604.737875998373	"0.141310427852003_0.341916613655749"	"0.506865917010728_0.493134082989272"	NA
"97"	106	0.000455283196259131	0.114356525169164	0.119273466393066	0.0315907093626897	0.000455283196259131	0.000264824426972074	0.356289008412975	0.0410756476403049	1.2669747716747e-14	5.68923154304754e-14	0	4.78648543644398e-06	-609.319935336651	"0.114356525169164_0.368318236755654"	"0.502295620169296_0.497704379830704"	NA
"5"	113	2.29705164828274e-05	0.125299971772016	0.121124810167397	0.0283510742438714	2.29705164828274e-05	4.07718189732944e-05	0.340256632478438	0.0441363503303656	6.40036798008193e-12	5.57893352807306e-12	2.22044604925031e-16	2.94973814872124e-05	-662.98383565302	"0.125299971772016_0.339071371182356"	"0.502267900880067_0.497732099119933"	NA
"52"	109	2.08515892107031e-34	0.360165138695742	0.0627622717010176	0.0442752536488752	0.260626755862947	0.159201567482339	0.354047908032167	0.0199441131350663	2.08515892107031e-34	8.35550417190363e-34	0	1.99174728423123e-09	-625.957749021925	"0.0500682969516546_0.360165138695742"	"0.480007384404466_0.519992615595534"	NA
