simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
87	115	4.70896580844277e-05	0.0838595266215634	0.0815557522283832	0.0198163250788745	4.70896580844277e-05	7.33029993052726e-05	0.332010163964413	0.0519087516877212	6.67341395932494e-09	3.6387300758524e-09	6.66133814775094e-16	6.5563222093325e-06	-643.732782031137	0.0838595266215634_0.325443832420497	0.509162852400336_0.490837147599664	
34	125	2.30694008663629e-08	0.0977485045971587	0.0988140629542249	0.0163695017708536	2.30694008663629e-08	1.69088479578077e-08	0.320668211343675	0.0454947561584494	1.59917590837249e-10	1.11029308688407e-10	0	4.46457568006905e-06	-720.16117988998	0.0977485045971587_0.317424985474187	0.518436427700056_0.481563572299944	
19	112	0.00511975949811011	0.119710736932559	0.11692898300307	0.0419131698825505	0.00511975949811011	0.00620914626406789	0.274258719592999	0.0572720709540033	1.0039109342889e-05	5.22358572652316e-06	1.00924257595558e-06	0.0266343954479378	-639.040660961971	0.119710736932559_0.265101546522088	0.50142711942476_0.49857288057524	
72	110	0.00366376906579184	0.0612191481840137	0.0581511599797646	0.020612766090227	0.00366376906579184	0.00568780417420573	0.249000298963033	0.032763365283007	6.18080183184532e-12	1.0994773902527e-11	1.15463194561016e-14	8.20368633155742e-07	-646.997867955955	0.0612191481840137_0.252729918033165	0.508469598173275_0.491530401826725	
65	98	3.79977055807576e-06	0.122107703232561	0.122503308252954	0.0249077050937412	3.79977055807576e-06	3.56123868420678e-06	0.332455416682928	0.0341426649659138	9.34188471478364e-16	4.95227615638781e-16	2.5068835896036e-13	6.77112123010499e-07	-577.206405345539	0.122107703232561_0.328099096490185	0.506546925355804_0.493453074644196	
95	86	0.042570792428232	0.0593037763582623	0.0571965113454096	0.0288044282724305	0.042570792428232	0.0502917233888174	0.276105338494316	0.0430006331656114	1.12805211183476e-08	7.41750447712937e-09	6.18880502400998e-11	2.34128257708433e-05	-494.131358140703	0.0593037763582623_0.272019226197537	0.510495298169077_0.489504701830923	
4	105	0.0248420250051999	0.0383184900626784	0.0448183307586341	0.0168295246286677	0.0248420250051999	0.00897441812352211	0.332800442629027	0.0386705094752983	5.76687352404499e-15	8.57122858506946e-14	0	8.58444610612988e-12	-617.196345339181	0.0383184900626784_0.353222250799419	0.545006717462875_0.454993282537125	
43	104	0.000610552413523153	0.0750134374839044	0.0791420387176625	0.0212147747289003	0.000610552413523153	0.000312997425414921	0.318489918979708	0.052851525907212	4.22000485681352e-08	2.63476815027019e-08	4.44089209850063e-16	2.63702033512067e-05	-607.21062599547	0.0750134374839044_0.313021982606286	0.515721932291484_0.484278067708516	
27	112	4.37874983517246e-06	0.0894563356343415	0.0913450059192769	0.0185158527809198	4.37874983517246e-06	2.86064867793569e-06	0.33412272358424	0.0408228177745326	2.76954861586138e-13	5.04534960309186e-13	0	6.09320871194725e-08	-648.131778980739	0.0894563356343415_0.33884500366158	0.509205136531228_0.490794863468772	
81	110	0.0105063051711189	0.0851937922691257	0.0856069353885823	0.0327199530321429	0.0105063051711189	0.0101480473390253	0.253233158933232	0.0439435093626905	6.86055766469465e-08	7.78603452450225e-08	2.44225084600203e-10	0.00221638401011136	-630.604191369123	0.0851937922691257_0.254456313971525	0.503429491728536_0.496570508271463	
