simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
80	138	0.380203098836026	0.0152220538993111	-804.16830156859	-0.0594361160731761_0.0152220538993111	0.449650585483965_0.550349414516035	-0.0583454261611724	0.0422974354146124	0.170016452099479	0.0140456700032902	0.0172906078228184	0.418011902092175	1.39882014376602	0.176961565092315
83	96	0.159764184115478	0.0418887142134073	-603.892835197271	0.0418588074368613_0.0418887142134073	0.499999999999993_0.500000000000007	0.0230789323126865	0.0323013544342241	0.476677426163982	0.0599265271778431	0.0295622721568102	0.0454512352399001	1.20425686999407	0.472893517186283
81	114	0.0547123867008124	0.0588116628490291	-705.930881804994	-0.00890151718852365_0.0588116628490291	0.495256573973456_0.504743426026545	-0.0125078961265028	0.0296761666200328	0.674205645622824	0.0625511985076508	0.0302950441941002	0.0412367966513424	1.46436574045941	0.132384864333162
82	113	0.30889092646573	0.0367073845168652	-677.644575951583	0.0367073845168652_0.0472132009253865	0.500081155289869_0.499918844710131	0.00152611540572854	0.0359103138385981	0.966177401982224	0.0848587821567737	0.0361559856793977	0.0206811501340805	1.16992083103977	0.126062434691393
85	122	0.106925447576736	0.0488012128514045	-771.929101741855	0.0487957137256294_0.0488012128514045	0.499999999999997_0.500000000000003	0.0348981474734254	0.0250077364198865	0.165422645409804	0.0656417249397101	0.030045449605751	0.0308347089994973	1.25243729952329	0.523247267805421
84	116	0.470973686038201	0.0155011040850532	-711.905478095912	0.0155011040850532_0.0990553801287186	0.521619085451059_0.478380914548941	0.0144899443797015	0.021431544678705	0.500332333149083	0.100989090504267	0.0330595863232902	0.00279972624712951	1.26936120155804	0.0412360461153781
88	103	0.381798751977732	0.021788838693186	-644.730883418545	0.0217794834347771_0.021788838693186	0.5_0.5	0.0119065910434372	0.0265074107509105	0.654254974248407	0.0324634354558443	0.0248055395519599	0.193571210008861	1.26156040567947	0.66953543468497
87	109	0.236540125438603	0.0342796335293198	-671.528275337354	0.0342620776098794_0.0342796335293198	0.499999999999994_0.500000000000006	0.0148171243278596	0.0356479133299741	0.67848941545723	0.0536153046721608	0.0287992645144896	0.0653656827764034	1.58907713446093	0.591701056508736
89	102	0.108117459587374	0.0665054543502876	-628.17640560131	0.066484453707914_0.0665054543502876	0.499999999999978_0.500000000000022	0.0405813758626387	0.0322933192682424	0.211779270609493	0.0992198435650374	0.0410252873372183	0.0173747853275191	1.07737797068452	0.283428737603567
86	108	0.770835644206355	0.010476232082038	-661.095636324871	0.010476232082038_0.0339976966694236	0.502195586362024_0.497804413637976	-0.021436887966773	0.0358748686770837	0.551405352223287	0.0677352710264955	0.0331782586652081	0.0436558921762812	1.39336344647243	0.110135173834088
90	110	0.883271672126168	0.00452304532001065	-679.512642090142	0.00452304532001065_0.00452432267374747	0.5_0.5	-0.0113269493520684	0.0307339937844782	0.713179556430226	0.020020215571138	0.0303173774816128	0.510419499278827	1.08491626966285	0.50065820500465
91	105	6.92631075843764e-06	0.13832585184746	-635.844940805703	-0.0580467084956461_0.13832585184746	0.498424977218357_0.501575022781643	-0.046833134522932	0.03820520902951	0.223030802888807	0.127077471544972	0.0292084513191504	3.17854417287964e-05	1.0163756899477	0.000308711722307838
92	123	0.918594963259208	0.00283127013753853	-752.723861222917	0.0158080537935802_0.00283127013753853	0.497723972874958_0.502276027125042	-0.0219422289049258	0.0276449160770721	0.428901503002541	0.0424065104717801	0.0309317445310671	0.172900912051216	1.43195399113838	0.193853974076258
93	104	0.259091063771666	-0.0347546374005148	-631.61532577452	-0.0347546374005148_0.0767558577619397	0.502150307577507_0.497849692422493	-0.0346482416606066	0.0306260906457229	0.260543071811826	0.0767429834374443	0.0396899779238885	0.0559121407525447	1.06991256494877	0.0292580088218104
97	103	0.967685049297919	0.000806706755684684	-650.861312337418	0.000806706755684684_0.0321546234337576	0.500043036320277_0.499956963679723	0.00882607025981003	0.0198640267556949	0.657749409245431	0.0248792765502549	0.0212131744149353	0.243598922894516	1.05078246138025	0.601394753410783
95	115	2.44248341750051e-05	0.145395245418318	-680.289384907873	-0.0493575808195546_0.145395245418318	0.49954754765913_0.50045245234087	-0.039822702099318	0.033815969337801	0.241396760401346	0.139189845899056	0.0330396447740905	5.06544416025397e-05	1.64699435978095	0.00046758574005299
96	124	0.885026174769743	0.00342679424843404	-799.176087273344	0.00342679424843404_0.073407735099558	0.501222061889651_0.498777938110349	0.00767824205061772	0.0236492039472726	0.745980613806169	0.0697354333155034	0.0294477373306281	0.0194378407559812	1.23145040837128	0.133126455954349
98	97	0.56346060828253	-0.0216095212163551	-579.500845583079	-0.0216095212163551_0.0459947213514253	0.50073798692929_0.49926201307071	-0.0317420653963582	0.0372757039200222	0.396584011701625	0.0651920568642227	0.0453908402970909	0.154185348641837	1.11817441689342	0.115020436691531
94	120	0.311841386771306	-0.0370944694653778	-729.34894702201	-0.0370944694653778_0.12368603242877	0.500017907039499_0.499982092960501	-0.0325782819245744	0.0365217305430855	0.374179941435069	0.118080741098299	0.0371313189975903	0.00187740207273293	0.906518142045087	0.00321266506798868
99	91	0.170409012909767	-0.0440986256992357	-522.611506263665	-0.0440986256992357_0.128308957588683	0.517305555270253_0.482694444729747	-0.0433678654115888	0.0319105430814805	0.177528309311604	0.126111926087614	0.048890673681202	0.0115163940293341	1.17363361051916	0.00496310519281877
100	97	1.81405670637963e-06	0.129923369778436	-602.019610967979	-0.00711270463801057_0.129923369778436	0.497766993334745_0.502233006665255	-0.00430096831298556	0.0377274429453516	0.909475038099646	0.127462533949325	0.025548467773021	2.69982132403114e-06	1.76466002375439	0.0116449335780593
